end_to_end,file
49.96062088012695,sr_092
48.60823059082031,sr_342
24.74953842163086,sr_177
18.427555084228516,sr_424
55.33799743652344,sr_364
48.24263381958008,sr_053
72.77239990234375,sr_492
79.3669662475586,sr_351
65.05510711669922,sr_372
57.70616912841797,sr_123
62.09269714355469,sr_391
69.13916778564453,sr_228
77.09111022949219,sr_426
50.92101287841797,sr_006
36.964569091796875,sr_393
73.54236602783203,sr_384
77.76358795166016,sr_345
33.4001350402832,sr_324
74.4333724975586,sr_258
22.057498931884766,sr_499
37.692745208740234,sr_304
70.05658721923828,sr_435
73.23616790771484,sr_010
61.70969772338867,sr_366
46.00672912597656,sr_369
64.3941650390625,sr_160
52.5841064453125,sr_119
65.00161743164062,sr_429
73.77401733398438,sr_291
85.12255096435547,sr_373
34.96907043457031,sr_083
26.9813175201416,sr_362
34.49415588378906,sr_196
58.645450592041016,sr_025
14.294669151306152,sr_270
77.16397857666016,sr_416
70.02101135253906,sr_401
92.32011413574219,sr_174
64.88327026367188,sr_340
13.225476264953613,sr_439
87.07555389404297,sr_014
32.128395080566406,sr_125
55.975318908691406,sr_046
77.38948822021484,sr_070
61.13604736328125,sr_016
59.8249626159668,sr_051
81.22596740722656,sr_109
36.1894645690918,sr_140
28.996191024780273,sr_236
26.41532325744629,sr_037
77.92904663085938,sr_162
19.053531646728516,sr_248
23.60849380493164,sr_188
74.02323913574219,sr_361
57.892127990722656,sr_265
50.03120803833008,sr_145
63.773475646972656,sr_274
74.30464935302734,sr_081
85.62834930419922,sr_344
71.202392578125,sr_066
60.55926513671875,sr_208
31.834503173828125,sr_246
104.57379150390625,sr_277
82.46073150634766,sr_417
47.325111389160156,sr_147
45.18259048461914,sr_335
37.48076248168945,sr_279
64.49081420898438,sr_410
65.12149047851562,sr_069
41.26905059814453,sr_449
50.855003356933594,sr_027
27.325849533081055,sr_012
73.7800064086914,sr_266
59.76224136352539,sr_168
21.020198822021484,sr_403
58.06405258178711,sr_281
19.83948516845703,sr_184
80.32139587402344,sr_161
71.85357666015625,sr_411
65.68846893310547,sr_353
66.59417724609375,sr_067
60.69401168823242,sr_256
45.238224029541016,sr_185
56.88286209106445,sr_183
14.544201850891113,sr_467
80.71887969970703,sr_204
51.41505813598633,sr_091
43.61759567260742,sr_060
65.0234375,sr_249
40.662391662597656,sr_363
33.82329177856445,sr_442
40.065887451171875,sr_302
58.375240325927734,sr_237
16.987451553344727,sr_082
63.07221984863281,sr_078
26.46099090576172,sr_368
30.598970413208008,sr_397
47.4997444152832,sr_154
57.125587463378906,sr_422
30.535919189453125,sr_202
54.6187629699707,sr_098
69.20511627197266,sr_149
16.67405128479004,sr_220
48.03932189941406,sr_440
48.712398529052734,sr_114
78.76378631591797,sr_407
23.03284454345703,sr_077
83.7584228515625,sr_262
38.0926399230957,sr_099
69.69891357421875,sr_104
28.345104217529297,sr_190
81.28932189941406,sr_031
66.53775787353516,sr_433
62.30085372924805,sr_151
78.05809020996094,sr_127
55.14654541015625,sr_080
30.062740325927734,sr_400
