Rg,file
31.32264664243345,sr_092
33.038401064373595,sr_342
30.10157258332726,sr_177
30.130972652749424,sr_424
31.011472055425987,sr_364
30.40592709832881,sr_053
31.401971302425185,sr_492
32.1378324717888,sr_351
35.23750712748736,sr_372
33.411968584400064,sr_123
31.579155128047546,sr_391
31.79356806692367,sr_228
30.8648452997803,sr_426
32.30153554663712,sr_006
30.62211243512894,sr_393
29.969420228311037,sr_384
31.409191246522486,sr_345
30.342560489280725,sr_324
30.015157691911714,sr_258
29.28717645112457,sr_499
31.167603295113107,sr_304
32.55710710022667,sr_435
30.46401885223128,sr_010
34.59163286602584,sr_366
31.315708729714032,sr_369
31.646113526970232,sr_160
30.64185744804919,sr_119
28.413576672305574,sr_429
30.828415487832984,sr_291
31.40096877447474,sr_373
34.52510630708111,sr_083
33.56078154918523,sr_362
33.34500228674432,sr_196
30.70481236930063,sr_025
30.391435705920667,sr_270
31.89178302420671,sr_416
31.635797508683243,sr_401
31.273832288707766,sr_174
30.674340646984195,sr_340
30.98037858075981,sr_439
31.776131017604715,sr_014
32.440953138778234,sr_125
31.651188519300607,sr_046
32.88592125080205,sr_070
36.755604254826025,sr_016
31.847632750869977,sr_051
30.267292293922747,sr_109
30.5634457775392,sr_140
30.902159211423132,sr_236
32.80916546763963,sr_037
32.59521502134095,sr_162
29.42068529040242,sr_248
30.580517469881052,sr_188
30.245604331210703,sr_361
35.14317981092497,sr_265
31.622273385099295,sr_145
35.269065960640674,sr_274
31.01817746878347,sr_081
32.51670365063393,sr_344
31.1259977560496,sr_066
31.456957927595745,sr_208
33.130348623367595,sr_246
32.42880015548197,sr_277
30.819848651706458,sr_417
32.488868531766094,sr_147
36.40169928371102,sr_335
30.844136576865907,sr_279
34.019872922800246,sr_410
31.005761077422832,sr_069
31.541325497360738,sr_449
34.45577463078442,sr_027
31.274103018047846,sr_012
31.37634408106727,sr_266
32.60644692306194,sr_168
29.828062653956064,sr_403
31.152636985015878,sr_281
29.586018014577064,sr_184
31.148559054382854,sr_161
30.735931274848703,sr_411
30.823091554949833,sr_353
30.704470338801695,sr_067
30.48774594423168,sr_256
32.077033474305445,sr_185
32.83066610073599,sr_183
31.644099708924784,sr_467
32.294556887210035,sr_204
33.427834115589306,sr_091
30.672391814383495,sr_060
30.821007676375668,sr_249
29.918848793237057,sr_363
31.657294098157625,sr_442
32.33600849339354,sr_302
35.66506913682214,sr_237
29.65016792077857,sr_082
30.179187812936522,sr_078
30.12399803638989,sr_368
30.34580549197175,sr_397
30.506579957061007,sr_154
30.740028919536687,sr_422
29.75060335407676,sr_202
35.04720343291884,sr_098
33.31320811299844,sr_149
30.380415120038332,sr_220
31.35681049406235,sr_440
31.270300829832365,sr_114
33.4585605212075,sr_407
30.037846445119914,sr_077
32.756449149935634,sr_262
30.553489379143354,sr_099
33.52376882355611,sr_104
30.586030608501854,sr_190
30.51201548256813,sr_031
31.736070617472144,sr_433
32.524824724549276,sr_151
32.69760442656588,sr_127
30.905094337154758,sr_080
31.22923964416258,sr_400
33.405747471356456,sr_379
31.509771726335238,sr_157
31.938309282053194,sr_272
31.797145233850745,sr_268
33.066288115937645,sr_041
31.63091859756792,sr_306
32.737826429081125,sr_239
32.5226219390879,sr_103
31.040987498597296,sr_308
30.79771789309553,sr_328
30.576345051776283,sr_167
32.58604738443781,sr_216
30.405850420622162,sr_182
29.99102085410943,sr_390
32.372405737886346,sr_309
33.42646755226818,sr_059
31.77745028626994,sr_489
31.36777311870861,sr_134
31.262902835077394,sr_292
30.562171554836226,sr_452
32.435940458486506,sr_233
30.57025368332461,sr_132
31.91049168886483,sr_355
31.957294038477677,sr_219
30.76888439371471,sr_095
31.870411242768565,sr_445
32.14709138840068,sr_106
31.594321761135596,sr_459
33.63317920050787,sr_052
30.811389593097807,sr_019
35.075588225294965,sr_486
31.668907054587084,sr_171
29.34536310824181,sr_303
31.622220221519978,sr_199
30.89830933261164,sr_336
32.305126106679545,sr_150
31.382928376688305,sr_441
31.959118183961316,sr_264
37.98513684554992,sr_176
30.936268469416977,sr_299
30.696261219610477,sr_004
31.625856059212715,sr_352
29.66416888282639,sr_430
31.130736588267872,sr_427
30.412899293964145,sr_128
31.208077390565904,sr_457
31.14783026700249,sr_314
30.91315530750652,sr_475
33.85852464677716,sr_186
32.95551538739981,sr_129
29.829115970363198,sr_380
30.658004534170363,sr_159
31.09860879087934,sr_139
30.975862145935924,sr_257
34.556574612180704,sr_402
32.063839471190114,sr_243
30.988339347284604,sr_075
31.526940078372633,sr_235
31.411072932927077,sr_212
30.945302948909493,sr_008
30.19334366342057,sr_474
34.181375251336554,sr_495
29.731894225747176,sr_026
