Dmax,file
86.7968978881836,sr_092
96.5089340209961,sr_342
82.642822265625,sr_177
86.38263702392578,sr_424
85.99513244628906,sr_364
93.09081268310547,sr_053
88.8799057006836,sr_492
85.21926879882812,sr_351
94.01924133300781,sr_372
96.76968383789062,sr_123
86.75446319580078,sr_391
94.36329650878906,sr_228
86.40633392333984,sr_426
87.54804229736328,sr_006
88.80217742919922,sr_393
85.97323608398438,sr_384
90.03462982177734,sr_345
89.20897674560547,sr_324
84.17302703857422,sr_258
86.37354278564453,sr_499
85.97528076171875,sr_304
92.94225311279297,sr_435
89.2935562133789,sr_010
97.69358825683594,sr_366
81.89923095703125,sr_369
84.89215850830078,sr_160
88.35287475585938,sr_119
80.47223663330078,sr_429
87.84894561767578,sr_291
96.1955337524414,sr_373
97.0142822265625,sr_083
91.71038818359375,sr_362
97.78557586669922,sr_196
83.1498794555664,sr_025
85.35576629638672,sr_270
88.59149169921875,sr_416
89.15199279785156,sr_401
92.32011413574219,sr_174
90.3238296508789,sr_340
83.41932678222656,sr_439
87.07555389404297,sr_014
91.39495086669922,sr_125
87.1654052734375,sr_046
93.30364227294922,sr_070
103.85807037353516,sr_016
88.96788787841797,sr_051
89.38520812988281,sr_109
82.16822052001953,sr_140
91.55430603027344,sr_236
95.88011169433594,sr_037
104.68453979492188,sr_162
80.12835693359375,sr_248
85.0901870727539,sr_188
88.70618438720703,sr_361
98.97511291503906,sr_265
93.92009735107422,sr_145
101.36553192138672,sr_274
85.03341674804688,sr_081
85.62834930419922,sr_344
89.58662414550781,sr_066
90.93917846679688,sr_208
94.42454528808594,sr_246
104.57379150390625,sr_277
84.7794189453125,sr_417
94.96436309814453,sr_147
102.19731140136719,sr_335
88.28214263916016,sr_279
98.377685546875,sr_410
85.92486572265625,sr_069
90.03134155273438,sr_449
97.21927642822266,sr_027
90.50849914550781,sr_012
91.22772979736328,sr_266
90.3359375,sr_168
85.17188262939453,sr_403
87.65788269042969,sr_281
86.32681274414062,sr_184
89.168212890625,sr_161
98.02703094482422,sr_411
85.94379425048828,sr_353
88.25556945800781,sr_067
93.18611907958984,sr_256
93.82603454589844,sr_185
91.66107177734375,sr_183
89.20626068115234,sr_467
90.716552734375,sr_204
103.80040740966797,sr_091
87.32730865478516,sr_060
91.45647430419922,sr_249
85.06537628173828,sr_363
94.43013000488281,sr_442
88.81172943115234,sr_302
103.05504608154297,sr_237
86.23580932617188,sr_082
85.1676025390625,sr_078
82.91986846923828,sr_368
92.48928833007812,sr_397
84.9814682006836,sr_154
93.7314682006836,sr_422
87.07771301269531,sr_202
99.36260986328125,sr_098
91.12732696533203,sr_149
84.17776489257812,sr_220
87.03569030761719,sr_440
85.09761047363281,sr_114
98.02241516113281,sr_407
84.67142486572266,sr_077
87.52945709228516,sr_262
91.30177307128906,sr_099
91.71168518066406,sr_104
89.780029296875,sr_190
88.64537811279297,sr_031
90.77822875976562,sr_433
83.8139419555664,sr_151
89.06896209716797,sr_127
93.80503845214844,sr_080
87.2757797241211,sr_400
93.8458023071289,sr_379
83.67215728759766,sr_157
87.03203582763672,sr_272
85.08170318603516,sr_268
92.7590560913086,sr_041
88.09794616699219,sr_306
