cluster,index,medoid,count
0,270,sr_382,120
1,204,sr_464,26
2,353,sr_153,2
3,65,sr_335,5
4,2,sr_177,328
5,73,sr_168,5
6,188,sr_040,1
7,101,sr_149,1
8,273,sr_498,1
9,386,sr_482,1
10,54,sr_265,10
