cluster,index,medoid,count
0,213,dd_464,95
1,145,dd_430,51
2,261,dd_299,78
3,217,dd_358,235
4,151,dd_352,1
5,298,dd_164,23
6,178,dd_035,2
7,422,dd_065,15
