end_to_end,file
37.971736907958984,dd_150
24.623802185058594,dd_270
56.82429885864258,dd_029
19.42321014404297,dd_171
34.05931091308594,dd_267
46.28822708129883,dd_135
66.89675903320312,dd_408
50.1152458190918,dd_086
49.97442626953125,dd_002
30.41071891784668,dd_265
49.74674987792969,dd_413
37.60874557495117,dd_097
77.34488677978516,dd_407
47.31455993652344,dd_064
42.10861587524414,dd_335
25.608928680419922,dd_348
31.674217224121094,dd_431
54.837974548339844,dd_042
52.42294692993164,dd_159
70.0089111328125,dd_273
70.68736267089844,dd_296
36.91651153564453,dd_336
17.570159912109375,dd_153
63.919700622558594,dd_291
19.124006271362305,dd_020
65.31697845458984,dd_318
89.08918762207031,dd_044
53.1858024597168,dd_484
53.49883270263672,dd_355
50.5894775390625,dd_297
81.52816009521484,dd_426
73.06440734863281,dd_077
70.09703063964844,dd_216
30.64069366455078,dd_303
46.1114387512207,dd_487
27.56737518310547,dd_496
65.48968505859375,dd_169
65.33070373535156,dd_463
55.358314514160156,dd_266
33.552005767822266,dd_331
53.57578659057617,dd_281
58.238101959228516,dd_217
53.631080627441406,dd_092
37.84556579589844,dd_284
61.975746154785156,dd_380
59.03740310668945,dd_447
31.634347915649414,dd_286
28.907386779785156,dd_489
52.69337463378906,dd_253
49.394378662109375,dd_292
53.804622650146484,dd_290
18.63899803161621,dd_218
62.78546142578125,dd_160
29.141172409057617,dd_288
59.12639236450195,dd_440
46.57415771484375,dd_025
24.659149169921875,dd_085
72.80909729003906,dd_196
36.92115020751953,dd_073
37.70170211791992,dd_268
26.7838077545166,dd_208
46.73921585083008,dd_328
59.150108337402344,dd_488
48.390464782714844,dd_432
72.63594818115234,dd_182
93.0921859741211,dd_036
54.00938034057617,dd_478
17.302934646606445,dd_010
29.085174560546875,dd_061
71.59789276123047,dd_459
28.164875030517578,dd_202
59.739253997802734,dd_226
73.67693328857422,dd_272
50.41210174560547,dd_429
60.049217224121094,dd_173
59.39692306518555,dd_499
55.09641647338867,dd_495
38.08945083618164,dd_106
34.988338470458984,dd_264
23.505142211914062,dd_458
55.8768310546875,dd_245
50.50642776489258,dd_480
61.533172607421875,dd_199
55.04587936401367,dd_222
72.10216522216797,dd_259
57.74830627441406,dd_353
20.03352928161621,dd_387
61.0507926940918,dd_152
34.7684326171875,dd_283
35.621524810791016,dd_422
58.55182647705078,dd_384
51.1751594543457,dd_123
30.067750930786133,dd_298
47.24306106567383,dd_360
29.229053497314453,dd_441
55.62432098388672,dd_475
67.79484558105469,dd_461
51.8382453918457,dd_138
61.35594177246094,dd_151
71.90492248535156,dd_280
61.32455062866211,dd_219
48.206085205078125,dd_017
58.91543197631836,dd_161
47.33420944213867,dd_124
34.221229553222656,dd_136
26.051279067993164,dd_129
31.7069149017334,dd_243
31.90972137451172,dd_375
68.1531753540039,dd_062
