Rg,file
31.24126136610702,dd_150
32.33657349827996,dd_270
32.9552297507526,dd_029
33.36371993447125,dd_171
32.25202761588873,dd_267
32.05779930214651,dd_135
31.576993658206064,dd_408
31.371585147082186,dd_086
32.04548255111385,dd_002
32.86910783568131,dd_265
31.263733927927298,dd_413
31.365006650201448,dd_097
32.784845069690505,dd_407
33.02271994759791,dd_064
31.770183283953074,dd_335
31.939372342759913,dd_348
32.87684209227579,dd_431
32.49403732968848,dd_042
32.142878578717756,dd_159
32.33800809727896,dd_273
32.27063057897521,dd_296
32.19671957265243,dd_336
31.927181515057306,dd_153
32.28585797955727,dd_291
33.96301409223151,dd_020
32.27726854631546,dd_318
32.42648638895568,dd_044
32.65115314804374,dd_484
31.862515097492075,dd_355
31.488205744242258,dd_297
32.93035296702936,dd_426
32.9819502535355,dd_077
34.04608953370223,dd_216
31.670862879083828,dd_303
31.995999639613412,dd_487
32.08978832072606,dd_496
33.47703270875825,dd_169
32.6801071052441,dd_463
32.30776406735028,dd_266
32.30329252943342,dd_331
32.31070506136734,dd_281
31.578312511434532,dd_217
31.98780759693126,dd_092
31.932784196578265,dd_284
32.47745323898146,dd_380
32.92001651762199,dd_447
32.48182026619661,dd_286
31.96225503990747,dd_489
32.26132915262994,dd_253
32.238056476161056,dd_292
32.082359991736126,dd_290
32.16933301649531,dd_218
32.936649404191016,dd_160
30.95919840996604,dd_288
32.93083025398996,dd_440
34.40662417208325,dd_025
32.426525140064975,dd_085
31.944301925302902,dd_196
32.330096096249775,dd_073
31.97697185533555,dd_268
32.79467306380314,dd_208
34.029019643884205,dd_328
31.25348808102001,dd_488
33.06852823812736,dd_432
32.88987125170013,dd_182
33.21404123032115,dd_036
33.33295765985648,dd_478
32.036175927232996,dd_010
31.69663954546087,dd_061
31.09424359135738,dd_459
32.26911309553306,dd_202
32.546671894035796,dd_226
32.224527857674275,dd_272
30.91357895520479,dd_429
33.04984934104419,dd_173
31.918207666192146,dd_499
30.987227128994373,dd_495
32.25410396341462,dd_106
31.594340353705537,dd_264
31.988084008870675,dd_458
31.83903182351921,dd_245
31.65291930124894,dd_480
33.76585761728566,dd_199
32.399647220961604,dd_222
32.54118625934385,dd_259
