helix,sheet,coil,file
27.85388127853881,0.91324200913242,71.23287671232876,dr_256
24.65753424657534,0.91324200913242,74.42922374429224,dr_187
26.484018264840184,0.91324200913242,72.6027397260274,dr_133
25.570776255707763,0.91324200913242,73.51598173515981,dr_459
26.484018264840184,0.91324200913242,72.6027397260274,dr_287
27.85388127853881,0.91324200913242,71.23287671232876,dr_498
26.484018264840184,0.91324200913242,72.6027397260274,dr_453
27.85388127853881,0.91324200913242,71.23287671232876,dr_058
27.85388127853881,0.91324200913242,71.23287671232876,dr_070
25.114155251141554,0.91324200913242,73.97260273972603,dr_078
26.484018264840184,0.91324200913242,72.6027397260274,dr_411
27.85388127853881,0.91324200913242,71.23287671232876,dr_052
31.050228310502284,0.91324200913242,68.03652968036529,dr_202
27.85388127853881,0.91324200913242,71.23287671232876,dr_231
26.484018264840184,0.91324200913242,72.6027397260274,dr_368
25.114155251141554,0.91324200913242,73.97260273972603,dr_094
26.027397260273972,0.91324200913242,73.05936073059361,dr_000
26.484018264840184,0.91324200913242,72.6027397260274,dr_226
26.027397260273972,0.91324200913242,73.05936073059361,dr_228
25.570776255707763,0.91324200913242,73.51598173515981,dr_349
26.484018264840184,0.91324200913242,72.6027397260274,dr_390
26.940639269406393,0.91324200913242,72.14611872146119,dr_414
26.484018264840184,0.91324200913242,72.6027397260274,dr_215
27.397260273972602,0.91324200913242,71.68949771689498,dr_323
27.397260273972602,0.91324200913242,71.68949771689498,dr_007
27.85388127853881,0.91324200913242,71.23287671232876,dr_270
27.85388127853881,0.91324200913242,71.23287671232876,dr_083
26.027397260273972,0.91324200913242,73.05936073059361,dr_247
24.65753424657534,0.91324200913242,74.42922374429224,dr_466
26.484018264840184,0.91324200913242,72.6027397260274,dr_198
26.940639269406393,0.91324200913242,72.14611872146119,dr_023
25.570776255707763,0.91324200913242,73.51598173515981,dr_317
26.940639269406393,0.91324200913242,72.14611872146119,dr_126
27.85388127853881,0.91324200913242,71.23287671232876,dr_079
27.85388127853881,0.91324200913242,71.23287671232876,dr_074
25.114155251141554,0.91324200913242,73.97260273972603,dr_073
27.397260273972602,0.91324200913242,71.68949771689498,dr_379
26.027397260273972,0.91324200913242,73.05936073059361,dr_177
26.027397260273972,0.91324200913242,73.05936073059361,dr_153
24.65753424657534,0.91324200913242,74.42922374429224,dr_275
27.85388127853881,1.82648401826484,70.31963470319634,dr_341
27.397260273972602,0.91324200913242,71.68949771689498,dr_491
27.85388127853881,0.91324200913242,71.23287671232876,dr_211
26.484018264840184,0.91324200913242,72.6027397260274,dr_065
