end_to_end,file
33.18764877319336,dr_240
46.60429000854492,dr_301
45.894283294677734,dr_465
47.26199722290039,dr_325
70.49871063232422,dr_242
68.54175567626953,dr_254
47.28498077392578,dr_204
65.2200927734375,dr_166
48.41981887817383,dr_006
72.97135162353516,dr_256
70.3047866821289,dr_187
39.464332580566406,dr_133
65.71617889404297,dr_459
39.3071174621582,dr_287
68.16400909423828,dr_498
43.667213439941406,dr_453
43.12706756591797,dr_058
44.66527557373047,dr_070
70.29087829589844,dr_078
68.5706558227539,dr_411
42.87126159667969,dr_052
30.791015625,dr_202
67.9957275390625,dr_231
68.61946868896484,dr_368
68.50038146972656,dr_094
72.24632263183594,dr_000
46.54801940917969,dr_226
45.964393615722656,dr_228
52.309452056884766,dr_349
72.3316421508789,dr_390
67.97219848632812,dr_414
35.36214828491211,dr_215
40.20793914794922,dr_323
47.26048278808594,dr_007
49.0838737487793,dr_270
46.67034912109375,dr_083
53.92692947387695,dr_247
68.23854064941406,dr_466
45.410343170166016,dr_198
69.53620147705078,dr_023
40.97193908691406,dr_317
42.65889358520508,dr_126
71.42464447021484,dr_079
67.86306762695312,dr_074
70.93943786621094,dr_073
41.08042526245117,dr_379
31.085182189941406,dr_177
45.793460845947266,dr_153
69.95429992675781,dr_275
70.61319732666016,dr_341
44.022666931152344,dr_491
39.42303466796875,dr_211
36.45041275024414,dr_065
68.67495727539062,dr_496
53.807918548583984,dr_474
50.69795608520508,dr_120
40.75986099243164,dr_034
38.47844696044922,dr_267
67.89276123046875,dr_049
37.465423583984375,dr_015
64.40023040771484,dr_217
67.9714584350586,dr_071
61.581329345703125,dr_096
63.690982818603516,dr_330
40.40515899658203,dr_335
39.696495056152344,dr_336
44.496978759765625,dr_362
35.47160339355469,dr_345
36.48021697998047,dr_488
42.77056884765625,dr_334
41.0213737487793,dr_397
43.23403549194336,dr_163
48.82057189941406,dr_266
41.48937225341797,dr_101
48.83031463623047,dr_369
71.67888641357422,dr_097
48.86435317993164,dr_165
75.0934066772461,dr_222
70.03711700439453,dr_119
65.5137710571289,dr_376
48.35251998901367,dr_175
41.69581985473633,dr_404
65.74436950683594,dr_043
69.357177734375,dr_042
