model,mds,optimal_k,ss,db,ch
Agglomerative,False,11,0.2490026102917011,1.2752581384622632,433.6490208030143
Agglomerative,True,6,0.489996006914479,0.7504596810944926,2665.416703693264
KMedoids,False,19,0.2748200256011095,1.384784615770857,924.1731468424332
KMedoids,True,5,0.5111276708953457,0.7339775317004593,2901.868239947041
HDBSCAN,False,2,0.21794696369857844,0.8875277193334506,1680.2879771144744
HDBSCAN,True,2,0.38218876285433045,0.924842543209165,1266.3864197630278
Spectral,False,5,0.3837210701471093,1.5405261413350249,1695.9601143371747
Spectral,True,3,0.403953006401528,0.8183084351415992,1887.1298887141554
