end_to_end,file
61.56496047973633,sd_297
76.32978820800781,sd_325
63.051116943359375,sd_494
78.941650390625,sd_039
88.65451049804688,sd_451
25.934337615966797,sd_190
88.29401397705078,sd_188
69.05879211425781,sd_397
85.19539642333984,sd_275
23.448118209838867,sd_391
94.94379425048828,sd_144
56.39009475708008,sd_368
17.56264305114746,sd_013
49.08621597290039,sd_100
71.6655044555664,sd_078
51.03422164916992,sd_051
67.29668426513672,sd_335
55.20249938964844,sd_220
74.99375915527344,sd_331
74.14900207519531,sd_238
79.05388641357422,sd_393
58.97923278808594,sd_094
39.62847137451172,sd_010
11.949967384338379,sd_300
72.14788055419922,sd_231
45.728050231933594,sd_381
21.632343292236328,sd_041
11.18825626373291,sd_467
40.8272705078125,sd_128
29.279298782348633,sd_348
71.3622055053711,sd_273
33.91515350341797,sd_499
62.80147171020508,sd_247
32.51633834838867,sd_162
52.13362121582031,sd_415
34.2120246887207,sd_470
48.273799896240234,sd_119
46.05765151977539,sd_252
34.67012405395508,sd_447
16.378786087036133,sd_074
50.501007080078125,sd_240
21.823671340942383,sd_408
63.12956237792969,sd_136
51.51346206665039,sd_333
97.69954681396484,sd_436
42.07966613769531,sd_072
5.246432304382324,sd_150
17.10483169555664,sd_183
86.87652587890625,sd_176
85.06603240966797,sd_225
41.24378204345703,sd_276
64.8805923461914,sd_108
48.5434455871582,sd_241
26.30331039428711,sd_444
22.851957321166992,sd_003
30.939998626708984,sd_401
38.208988189697266,sd_332
56.24845886230469,sd_104
35.16370391845703,sd_009
77.479736328125,sd_292
62.001365661621094,sd_417
80.89027404785156,sd_327
79.52462768554688,sd_287
76.531982421875,sd_212
25.685626983642578,sd_019
82.66654968261719,sd_215
45.103599548339844,sd_141
48.976295471191406,sd_193
47.218040466308594,sd_413
81.81612396240234,sd_006
69.32318115234375,sd_403
37.71842575073242,sd_479
63.276649475097656,sd_026
42.88662338256836,sd_133
40.47951126098633,sd_217
50.25879669189453,sd_191
87.4664077758789,sd_163
63.143672943115234,sd_358
61.884605407714844,sd_073
32.684112548828125,sd_318
22.900558471679688,sd_097
97.72197723388672,sd_439
24.49818992614746,sd_058
63.458003997802734,sd_048
59.736724853515625,sd_399
24.3713436126709,sd_469
25.2040958404541,sd_087
48.56842041015625,sd_037
28.751375198364258,sd_361
62.32315444946289,sd_129
93.1100082397461,sd_437
108.85664367675781,sd_106
55.07883071899414,sd_201
23.874664306640625,sd_000
83.75869750976562,sd_177
35.12884521484375,sd_268
31.573339462280273,sd_213
66.5158920288086,sd_336
69.90047454833984,sd_172
50.380470275878906,sd_178
100.56735229492188,sd_216
38.684078216552734,sd_239
95.41981506347656,sd_293
64.14654541015625,sd_326
78.26776885986328,sd_180
32.79517364501953,sd_015
36.74248504638672,sd_096
38.479393005371094,sd_016
41.629737854003906,sd_270
75.36026000976562,sd_260
35.68425750732422,sd_323
63.96604537963867,sd_474
49.073368072509766,sd_223
48.536415100097656,sd_266
51.66899871826172,sd_308
