Rg,file
37.24586670003149,sd_297
41.22708243218502,sd_325
34.853929260135246,sd_494
37.511222886651524,sd_039
37.373002945596504,sd_451
37.96775713961598,sd_190
34.755490934906696,sd_188
35.79300381670565,sd_397
37.11298829994825,sd_275
36.53613716239844,sd_391
34.43531148660356,sd_144
38.81110988994853,sd_368
36.32703177649039,sd_013
38.79711506297084,sd_100
37.549991059793214,sd_078
34.61427611928409,sd_051
36.51999148614349,sd_335
42.36923620808234,sd_220
36.20116665732947,sd_331
38.54646629770161,sd_238
40.20068527439722,sd_393
38.50467224109708,sd_094
34.57957401982738,sd_010
39.271105016661906,sd_300
35.20715635778424,sd_231
41.202034268324574,sd_381
40.264177462945575,sd_041
34.16695792672131,sd_467
38.097791857377615,sd_128
33.27423487699438,sd_348
40.40255176412358,sd_273
41.92046556961741,sd_499
38.853181912288505,sd_247
41.08489306823067,sd_162
40.33169606137064,sd_415
35.32974363166578,sd_470
37.111405814129526,sd_119
35.143962770169274,sd_252
38.28697942400354,sd_447
39.974421785185605,sd_074
36.28578998081185,sd_240
34.93704682431899,sd_408
40.429026468239755,sd_136
36.017373572570435,sd_333
41.18606728440013,sd_436
36.03196988995755,sd_072
38.42237345760286,sd_150
37.852394330902385,sd_183
34.30408620224645,sd_176
35.94228473607203,sd_225
39.00575916407171,sd_276
37.255711409583334,sd_108
37.760990042361804,sd_241
39.081252833406865,sd_444
37.502384776549675,sd_003
40.75537418964414,sd_401
38.99329424950189,sd_332
40.07650108951664,sd_104
36.243904384707214,sd_009
38.67327691654511,sd_292
37.787956242280686,sd_417
38.012526229508495,sd_327
35.42737606531929,sd_287
34.91536207120603,sd_212
37.61137327145317,sd_019
39.01780355441278,sd_215
35.839692627558485,sd_141
35.4960184721886,sd_193
39.534454269404364,sd_413
37.90907492633975,sd_006
36.95416611614107,sd_403
36.35551173743027,sd_479
36.456327786780335,sd_026
33.986847474720946,sd_133
39.03199655290351,sd_217
36.81732754435466,sd_191
35.413557718241336,sd_163
38.56960454505278,sd_358
37.18629437135318,sd_073
35.54850499822103,sd_318
35.20122147591979,sd_097
35.62115060998839,sd_439
36.521613632842936,sd_058
37.37706852652417,sd_048
34.93214449877856,sd_399
38.13694160274339,sd_469
36.847021847185424,sd_087
35.89752453082342,sd_037
38.48946457683385,sd_361
37.31086754454676,sd_129
35.64869942306504,sd_437
38.42531149122766,sd_106
38.88569209567996,sd_201
37.19253066280494,sd_000
33.68810127307729,sd_177
36.81004822693468,sd_268
35.079035267095215,sd_213
39.33214495845706,sd_336
39.682698458409654,sd_172
37.16575436204409,sd_178
34.21552386453521,sd_216
38.26451828936739,sd_239
36.57488267626432,sd_293
37.61157492364065,sd_326
38.82372230875127,sd_180
36.61515190448577,sd_015
34.645398187666274,sd_096
38.170735442763316,sd_016
40.349706049806095,sd_270
36.75992637315732,sd_260
36.04919849555911,sd_323
41.29859976696246,sd_474
39.54308168796484,sd_223
34.25131636538327,sd_266
37.50104834484315,sd_308
40.65898874271173,sd_169
35.13048347072367,sd_379
36.792642673772285,sd_254
36.383420690266114,sd_375
39.21567204695158,sd_485
35.63784543883615,sd_158
37.58685700017559,sd_382
36.07206185912727,sd_025
37.20395808596089,sd_422
36.01510156821281,sd_481
34.16676406277713,sd_484
36.14484090579664,sd_475
41.01266865573623,sd_057
39.86053890281616,sd_416
36.15221033465389,sd_029
37.61991896568275,sd_138
37.685767856555785,sd_418
37.83938838380287,sd_334
35.36436256036269,sd_374
36.98009782962296,sd_426
36.57424060508343,sd_081
35.19016171007207,sd_370
34.59261579575961,sd_076
36.25976259367386,sd_071
39.1117136245728,sd_286
36.719244997888254,sd_031
37.20173417047057,sd_125
39.394500746413854,sd_030
39.61545293088809,sd_305
32.71062452984487,sd_012
35.27167664949976,sd_084
36.32572181090978,sd_342
37.840779042622046,sd_449
38.95550561578328,sd_122
37.70704382668296,sd_186
36.40909181231108,sd_232
37.923463088093804,sd_316
36.570342704622114,sd_257
36.85260539329561,sd_045
34.1533864207593,sd_033
37.25531968662434,sd_132
35.0624104855654,sd_468
32.58056613722939,sd_450
36.39474889960251,sd_242
39.236616532577045,sd_269
39.33772063083972,sd_147
37.33184688831918,sd_027
37.6286524935537,sd_472
40.069479724049046,sd_438
35.316044672923056,sd_165
38.16067674646624,sd_301
36.03970516591989,sd_352
37.80242957603774,sd_283
35.77405609545009,sd_406
34.895731790268464,sd_131
41.196054764699575,sd_307
39.38875077588609,sd_204
38.718320430689346,sd_156
35.4547282958977,sd_473
37.31613121766612,sd_194
39.62030609400494,sd_001
36.67184265321038,sd_498
35.91270797892263,sd_435
36.21238188462285,sd_281
38.13951513214302,sd_356
38.81059302714179,sd_179
33.704818020198054,sd_458
37.92808834568075,sd_170
36.55233135793992,sd_064
34.95815805192085,sd_060
36.4011631222812,sd_456
37.03327928645251,sd_145
38.38766230067832,sd_103
35.88141657107055,sd_062
36.56344232618801,sd_110
38.91015568658765,sd_192
40.66860870259768,sd_052
37.95414720890498,sd_244
42.3120778852306,sd_312
40.90075073773568,sd_005
34.89516293072196,sd_489
36.49678192048238,sd_445
33.842135157108615,sd_209
36.95696626786624,sd_224
36.138719033345815,sd_424
40.598692316669414,sd_387
34.09431499672435,sd_366
34.65987956885261,sd_343
37.042108095708784,sd_311
35.84099372168671,sd_173
38.68593608333121,sd_409
41.22327353621607,sd_385
36.52110169413589,sd_127
36.38337502809708,sd_067
39.700656333687576,sd_175
34.912338318663394,sd_230
35.20165596025291,sd_389
36.27697913745887,sd_236
36.019052469100785,sd_021
35.1045754462235,sd_324
38.71344262365566,sd_189
39.46237905649836,sd_256
37.21091007926627,sd_114
38.19139338148986,sd_199
35.26720654848182,sd_355
36.35013082654114,sd_289
38.38938442655046,sd_154
39.701142898231666,sd_328
36.583572092717034,sd_105
41.258095844806476,sd_425
36.02862277513418,sd_349
35.1423215892758,sd_357
39.66016609498371,sd_228
38.80273185563724,sd_214
37.693724185738795,sd_490
39.788002228408956,sd_121
36.570369796879056,sd_237
34.27149912869926,sd_302
35.77549946186918,sd_378
35.21227729066712,sd_404
36.46634895751597,sd_313
37.20444256447505,sd_288
37.84316709323318,sd_118
37.87537571096981,sd_077
33.10347259444543,sd_369
34.93640302810187,sd_061
37.88686247807935,sd_392
37.141654593235046,sd_383
39.1183006460707,sd_089
36.61452549157129,sd_443
40.29469105248961,sd_363
39.008734333264314,sd_023
39.25531359029453,sd_455
37.62009757108442,sd_091
41.35707137560678,sd_452
38.69083278774671,sd_338
41.22523580270469,sd_486
41.85388223888492,sd_059
36.12053859613541,sd_267
37.80962953326059,sd_465
39.60465624890633,sd_280
36.86532753777601,sd_454
38.05330764279672,sd_053
37.05562410629277,sd_111
39.61197223735727,sd_080
37.78470818023899,sd_159
36.909641265807885,sd_278
35.05811810727957,sd_272
36.867357122093765,sd_405
35.776496467472626,sd_463
36.69725754340159,sd_184
34.858809611187766,sd_365
40.52573460545715,sd_410
38.382071239418984,sd_007
36.95261143971735,sd_149
33.895156012850435,sd_115
34.684047011167145,sd_032
37.1121235544515,sd_478
39.8304203427131,sd_411
34.754241342672046,sd_466
35.132356163157496,sd_195
36.94660824830526,sd_319
38.04071353291866,sd_205
38.370501300986604,sd_120
35.7928453564876,sd_196
36.441220881199236,sd_497
41.832360587670934,sd_055
37.316556105681464,sd_304
35.41470636057417,sd_330
38.1558585124433,sd_309
38.00613924523785,sd_377
36.15315040649048,sd_373
35.76236315077155,sd_398
34.14552143398928,sd_139
39.54886073631638,sd_140
35.85313605275151,sd_245
38.625488456971944,sd_142
33.83293971354464,sd_294
38.49859794600402,sd_433
35.60421822165847,sd_161
37.74196399590166,sd_109
40.95828533871483,sd_271
37.95744460978903,sd_372
34.489704153202965,sd_069
38.721949100046,sd_034
36.193210971219564,sd_148
38.93620640817753,sd_250
34.71980652249133,sd_113
35.170094026350206,sd_153
35.698741138109696,sd_448
36.832584731870334,sd_264
35.851367150676005,sd_036
34.79663682855987,sd_218
36.91513437042215,sd_321
34.607062290817964,sd_353
35.66856305771638,sd_395
37.522523031921295,sd_221
34.792394926610314,sd_430
40.32026319325657,sd_197
38.70432164915101,sd_427
39.86866188968121,sd_258
34.751504377250164,sd_434
39.29038433061753,sd_428
38.11416102031425,sd_322
37.94785790596875,sd_171
37.5787034897837,sd_299
36.93331867641369,sd_182
37.386824372824655,sd_099
38.622569332204996,sd_207
37.22329452014337,sd_407
40.119353932320614,sd_432
36.31148470682239,sd_028
34.52132203090698,sd_263
37.23972691901673,sd_261
37.123584324494374,sd_384
38.62005102880124,sd_070
37.381299664494534,sd_095
42.61633582550696,sd_203
36.45805271672457,sd_362
40.09605967897737,sd_314
33.65139886332637,sd_018
40.83069304119557,sd_291
39.502769979067985,sd_011
36.05861544873756,sd_226
35.6785583231394,sd_086
38.66996412362737,sd_495
38.554451146791855,sd_200
35.54433105020986,sd_065
38.77518978612096,sd_320
33.91414547707285,sd_146
37.7396287400431,sd_471
40.701428427048285,sd_168
34.95078301117365,sd_063
36.677572930929536,sd_123
33.934275187775256,sd_253
36.29502975874891,sd_235
35.52461071887524,sd_431
35.982174384010484,sd_233
40.58344216802066,sd_187
36.20586062814795,sd_101
35.34413116530085,sd_429
40.0138783945768,sd_351
37.71877825547335,sd_440
38.0765174284939,sd_116
36.31105975062726,sd_079
37.358128480913095,sd_107
41.70864642682199,sd_367
34.18193465772023,sd_359
