helix,sheet,coil,file
11.415525114155251,0.91324200913242,87.67123287671232,sd_297
10.95890410958904,0.0,89.04109589041096,sd_325
12.32876712328767,0.91324200913242,86.7579908675799,sd_494
13.698630136986301,0.91324200913242,85.38812785388127,sd_039
13.242009132420092,0.0,86.7579908675799,sd_451
10.502283105022832,0.91324200913242,88.58447488584476,sd_190
14.155251141552512,0.91324200913242,84.93150684931507,sd_188
13.242009132420092,0.91324200913242,85.84474885844749,sd_397
12.32876712328767,0.0,87.67123287671232,sd_275
11.415525114155251,0.0,88.58447488584476,sd_391
10.045662100456621,0.0,89.95433789954338,sd_144
12.32876712328767,0.91324200913242,86.7579908675799,sd_368
12.785388127853881,0.0,87.21461187214612,sd_013
11.415525114155251,0.91324200913242,87.67123287671232,sd_100
12.32876712328767,0.91324200913242,86.7579908675799,sd_078
13.242009132420092,0.0,86.7579908675799,sd_051
11.415525114155251,0.0,88.58447488584476,sd_335
11.872146118721462,0.0,88.12785388127854,sd_220
12.785388127853881,0.91324200913242,86.3013698630137,sd_331
7.30593607305936,0.0,92.69406392694064,sd_238
10.95890410958904,0.0,89.04109589041096,sd_393
11.415525114155251,0.0,88.58447488584476,sd_094
13.242009132420092,0.91324200913242,85.84474885844749,sd_010
13.242009132420092,0.91324200913242,85.84474885844749,sd_300
12.785388127853881,0.91324200913242,86.3013698630137,sd_231
10.045662100456621,0.0,89.95433789954338,sd_381
9.132420091324201,0.0,90.8675799086758,sd_041
14.155251141552512,0.91324200913242,84.93150684931507,sd_467
12.32876712328767,0.0,87.67123287671232,sd_128
13.242009132420092,0.91324200913242,85.84474885844749,sd_348
13.698630136986301,0.91324200913242,85.38812785388127,sd_273
11.415525114155251,0.0,88.58447488584476,sd_499
11.415525114155251,0.91324200913242,87.67123287671232,sd_247
12.785388127853881,0.0,87.21461187214612,sd_162
10.95890410958904,0.91324200913242,88.12785388127854,sd_415
12.785388127853881,0.91324200913242,86.3013698630137,sd_470
11.415525114155251,0.0,88.58447488584476,sd_119
11.872146118721462,0.0,88.12785388127854,sd_252
11.415525114155251,0.0,88.58447488584476,sd_447
8.67579908675799,0.0,91.32420091324201,sd_074
15.068493150684931,0.91324200913242,84.01826484018265,sd_240
